v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,1946,0x1397cc0,854,ConstructProxy
code-creation,Builtin,3,1956,0x1398020,188,JSEntry
code-creation,Builtin,3,1965,0x13980e0,188,JSConstructEntry
code-creation,Builtin,3,1975,0x13981a0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,1985,0x1398260,95,JSEntryTrampoline
code-creation,Builtin,3,1995,0x13982c0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,2005,0x1398320,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,2044,0x1398460,1112,StringCodePointAt
code-creation,Builtin,3,2056,0x13988c0,1615,StringFromCodePointAt
code-creation,Builtin,3,2067,0x1398f20,552,StringEqual
code-creation,Builtin,3,2083,0x1399160,284,StringGreaterThan
code-creation,Builtin,3,2094,0x1399280,284,StringGreaterThanOrEqual
code-creation,Builtin,3,2120,0x13993a0,1077,StringIndexOf
code-creation,Builtin,3,2131,0x13997e0,284,StringLessThan
code-creation,Builtin,3,2140,0x1399900,284,StringLessThanOrEqual
code-creation,Builtin,3,2151,0x1399a20,2627,StringSubstring
code-creation,Builtin,3,2162,0x139a480,92,OrderedHashTableHealIndex
code-creation,Builtin,3,2173,0x139a4e0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,2182,0x139a880,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2188,0x139a8e0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2196,0x139a940,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2203,0x139a9a0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2225,0x139aa00,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2232,0x139aa60,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2238,0x139aac0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2245,0x139aba0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2274,0x139ac00,51,InterpreterOnStackReplacement
code-creation,Builtin,3,2283,0x139ac40,1061,CompileLazy
code-creation,Builtin,3,2289,0x139b080,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2296,0x139b0e0,245,InstantiateAsmJs
code-creation,Builtin,3,2302,0x139b1e0,32,NotifyDeoptimized
code-creation,Builtin,3,2307,0x139b220,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2314,0x139b260,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2335,0x139b2a0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2340,0x139b2e0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2346,0x139b340,287,CallApiCallback
code-creation,Builtin,3,2352,0x139b460,269,CallApiGetter
code-creation,Builtin,3,2358,0x139b580,12,HandleApiCall
code-creation,Builtin,3,2363,0x139b5a0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2369,0x139b5c0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2395,0x139b5e0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2403,0x139b640,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2413,0x139b680,72,AllocateInOldGeneration
code-creation,Builtin,3,2438,0x139b6e0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2449,0x139b720,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2457,0x139b920,563,GrowFastDoubleElements
code-creation,Builtin,3,2464,0x139bb60,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2470,0x139bd20,353,NewArgumentsElements
code-creation,Builtin,3,2477,0x139bea0,500,DebugBreakTrampoline
code-creation,Builtin,3,2484,0x139c0a0,141,FrameDropperTrampoline
code-creation,Builtin,3,2490,0x139c140,45,HandleDebuggerStatement
code-creation,Builtin,3,2496,0x139c180,254,ToObject
code-creation,Builtin,3,2503,0x139c280,100,ToBoolean
code-creation,Builtin,3,2510,0x139c300,269,OrdinaryToPrimitive_Number
