v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,2171,0x139a9a0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2177,0x139aa00,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2184,0x139aa60,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2190,0x139aac0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2196,0x139aba0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2203,0x139ac00,51,InterpreterOnStackReplacement
code-creation,Builtin,3,2209,0x139ac40,1061,CompileLazy
code-creation,Builtin,3,2214,0x139b080,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2221,0x139b0e0,245,InstantiateAsmJs
code-creation,Builtin,3,2227,0x139b1e0,32,NotifyDeoptimized
code-creation,Builtin,3,2233,0x139b220,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2238,0x139b260,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2244,0x139b2a0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2250,0x139b2e0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2257,0x139b340,287,CallApiCallback
code-creation,Builtin,3,2262,0x139b460,269,CallApiGetter
code-creation,Builtin,3,2268,0x139b580,12,HandleApiCall
code-creation,Builtin,3,2275,0x139b5a0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2281,0x139b5c0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2287,0x139b5e0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2293,0x139b640,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2299,0x139b680,72,AllocateInOldGeneration
code-creation,Builtin,3,2305,0x139b6e0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2311,0x139b720,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2317,0x139b920,563,GrowFastDoubleElements
code-creation,Builtin,3,2324,0x139bb60,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2330,0x139bd20,353,NewArgumentsElements
code-creation,Builtin,3,2336,0x139bea0,500,DebugBreakTrampoline
code-creation,Builtin,3,2342,0x139c0a0,141,FrameDropperTrampoline
code-creation,Builtin,3,2347,0x139c140,45,HandleDebuggerStatement
code-creation,Builtin,3,2353,0x139c180,254,ToObject
code-creation,Builtin,3,2358,0x139c280,100,ToBoolean
code-creation,Builtin,3,2364,0x139c300,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2370,0x139c420,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2377,0x139c540,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2383,0x139c620,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2389,0x139c700,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2395,0x139c7e0,85,StringToNumber
code-creation,Builtin,3,2401,0x139c840,129,ToName
code-creation,Builtin,3,2406,0x139c8e0,235,NonNumberToNumber
code-creation,Builtin,3,2411,0x139c9e0,255,NonNumberToNumeric
code-creation,Builtin,3,2417,0x139cae0,239,ToNumber
code-creation,Builtin,3,2423,0x139cbe0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2430,0x139cd00,275,ToNumeric
code-creation,Builtin,3,2435,0x139ce20,261,NumberToString
code-creation,Builtin,3,2441,0x139cf40,382,ToLength
code-creation,Builtin,3,2446,0x139d0c0,140,Typeof
code-creation,Builtin,3,2452,0x139d160,69,GetSuperConstructor
code-creation,Builtin,3,2458,0x139d1c0,125,BigIntToI64
code-creation,Builtin,3,2464,0x139d240,12,BigIntToI32Pair
code-creation,Builtin,3,2470,0x139d260,309,I64ToBigInt
code-creation,Builtin,3,2477,0x139d3a0,12,I32PairToBigInt
code-creation,Builtin,3,2483,0x139d3c0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2489,0x139d440,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2495,0x139e1c0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2501,0x13a2040,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2507,0x13a2140,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2513,0x13a21a0,20,LoadIC_StringLength
code-creation,Builtin,3,2519,0x13a21c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2526,0x13a21e0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2531,0x13a2de0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2537,0x13a2e20,6952,StoreIC_NoFeedback
code-creation,Builtin,3,2543,0x13a4960,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2549,0x13a4a20,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2555,0x13a4a80,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2562,0x13a4be0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2569,0x13a4d40,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2575,0x13a4ea0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2582,0x13a5000,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,2588,0x13a6ac0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2594,0x13a94a0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2601,0x13aaf60,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2607,0x13ac8e0,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2614,0x13aeda0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2620,0x13b4300,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2627,0x13b67c0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2633,0x13b9820,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2639,0x13b9b20,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2645,0x13b9be0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2651,0x13b9c40,156,EnqueueMicrotask
code-creation,Builtin,3,2657,0x13b9ce0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2663,0x13b9d00,2472,RunMicrotasks
code-creation,Builtin,3,2669,0x13ba6c0,2338,HasProperty
code-creation,Builtin,3,2675,0x13bb000,1108,DeleteProperty
code-creation,Builtin,3,2681,0x13bb460,1847,CopyDataProperties
code-creation,Builtin,3,2687,0x13bbba0,8794,SetDataProperties
code-creation,Builtin,3,2692,0x13bde00,36,Abort
code-creation,Builtin,3,2698,0x13bde40,36,AbortCSAAssert
code-creation,Builtin,3,2704,0x13bde80,12,EmptyFunction
code-creation,Builtin,3,2710,0x13bdea0,12,Illegal
code-creation,Builtin,3,2715,0x13bdec0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2721,0x13bdee0,12,UnsupportedThrower
code-creation,Builtin,3,2730,0x13bdf00,65,ReturnReceiver
code-creation,Builtin,3,2758,0x13bdf60,36,ArrayConstructor
code-creation,Builtin,3,2766,0x13bdfa0,413,ArrayConstructorImpl
code-creation,Builtin,3,2773,0x13be140,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2781,0x13be220,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2789,0x13be300,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2796,0x13be3c0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2803,0x13be480,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2810,0x13be540,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2818,0x13be600,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2825,0x13be6e0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2849,0x13be7c0,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2878,0x13be9e0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2887,0x13bebe0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2896,0x13beda0,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2905,0x13bef40,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
