v8-version,8,4,371,19,-node.18,0
shared-library,/usr/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f240cd1e000,0x7f240cebb000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f240cf12000,0x7f240cf2a000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f240cf35000,0x7f240cf4a000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f240cf50000,0x7f240d006000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f240d09f000,0x7f240d225000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f240d280000,0x7f240d283000,0
shared-library,/usr/lib/libkeepalive.so,0x7f240d2a3000,0x7f240d2a4000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f240d4a7000,0x7f240d4cb000,0
shared-library,[vdso],0x7ffd9a1bc000,0x7ffd9a1be000,0
profiler,begin,1000
tick,0x1c6f2d0,600,0,0x0,6
code-creation,Builtin,3,1546,0x1393ba0,1632,RecordWrite
code-creation,Builtin,3,1555,0x1394220,424,EphemeronKeyBarrier
code-creation,Builtin,3,1558,0x13943e0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1585,0x1394420,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1588,0x1394560,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1591,0x1394640,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1597,0x1394760,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1601,0x13948a0,127,CallBoundFunction
code-creation,Builtin,3,1605,0x1394920,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1610,0x13949a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1616,0x1394a20,109,Call_ReceiverIsAny
code-creation,Builtin,3,1619,0x1394aa0,866,CallProxy
code-creation,Builtin,3,1622,0x1394e20,75,CallVarargs
code-creation,Builtin,3,1627,0x1394e80,1056,CallWithSpread
code-creation,Builtin,3,1631,0x13952c0,926,CallWithArrayLike
code-creation,Builtin,3,1634,0x1395660,100,CallForwardVarargs
code-creation,Builtin,3,1668,0x13956e0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,1676,0x1395760,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1684,0x1395800,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1694,0x1395900,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1704,0x1395a60,26,ConstructFunction
code-creation,Builtin,3,1713,0x1395a80,127,ConstructBoundFunction
code-creation,Builtin,3,1720,0x1395b00,28,ConstructedNonConstructable
code-creation,Builtin,3,1728,0x1395b20,90,Construct
code-creation,Builtin,3,1735,0x1395b80,75,ConstructVarargs
code-creation,Builtin,3,1743,0x1395be0,1084,ConstructWithSpread
code-creation,Builtin,3,1752,0x1396020,1000,ConstructWithArrayLike
code-creation,Builtin,3,1760,0x1396420,139,ConstructForwardVarargs
code-creation,Builtin,3,1770,0x13964c0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1780,0x1396560,328,JSConstructStubGeneric
code-creation,Builtin,3,1789,0x13966c0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,1798,0x13967c0,735,FastNewObject
code-creation,Builtin,3,1808,0x1396aa0,305,FastNewClosure
code-creation,Builtin,3,1818,0x1396be0,209,FastNewFunctionContextEval
code-creation,Builtin,3,1829,0x1396cc0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,1839,0x1396da0,238,CreateRegExpLiteral
code-creation,Builtin,3,1850,0x1396ea0,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,1860,0x13970e0,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,1870,0x1397560,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,1880,0x1397cc0,854,ConstructProxy
code-creation,Builtin,3,1889,0x1398020,188,JSEntry
code-creation,Builtin,3,1898,0x13980e0,188,JSConstructEntry
code-creation,Builtin,3,1909,0x13981a0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,1919,0x1398260,95,JSEntryTrampoline
code-creation,Builtin,3,1929,0x13982c0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,1940,0x1398320,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,1950,0x1398460,1112,StringCodePointAt
code-creation,Builtin,3,1960,0x13988c0,1615,StringFromCodePointAt
code-creation,Builtin,3,1970,0x1398f20,552,StringEqual
code-creation,Builtin,3,1985,0x1399160,284,StringGreaterThan
code-creation,Builtin,3,1995,0x1399280,284,StringGreaterThanOrEqual
code-creation,Builtin,3,2005,0x13993a0,1077,StringIndexOf
code-creation,Builtin,3,2016,0x13997e0,284,StringLessThan
code-creation,Builtin,3,2025,0x1399900,284,StringLessThanOrEqual
code-creation,Builtin,3,2036,0x1399a20,2627,StringSubstring
code-creation,Builtin,3,2045,0x139a480,92,OrderedHashTableHealIndex
code-creation,Builtin,3,2053,0x139a4e0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,2060,0x139a880,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2066,0x139a8e0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2073,0x139a940,80,InterpreterPushArgsThenCallWithFinalSpread
