v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,2260,0x139b0e0,245,InstantiateAsmJs
code-creation,Builtin,3,2266,0x139b1e0,32,NotifyDeoptimized
code-creation,Builtin,3,2271,0x139b220,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2277,0x139b260,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2283,0x139b2a0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2288,0x139b2e0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2294,0x139b340,287,CallApiCallback
code-creation,Builtin,3,2299,0x139b460,269,CallApiGetter
code-creation,Builtin,3,2304,0x139b580,12,HandleApiCall
code-creation,Builtin,3,2309,0x139b5a0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2315,0x139b5c0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2320,0x139b5e0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2341,0x139b640,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2346,0x139b680,72,AllocateInOldGeneration
code-creation,Builtin,3,2352,0x139b6e0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2357,0x139b720,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2363,0x139b920,563,GrowFastDoubleElements
code-creation,Builtin,3,2368,0x139bb60,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2373,0x139bd20,353,NewArgumentsElements
code-creation,Builtin,3,2400,0x139bea0,500,DebugBreakTrampoline
code-creation,Builtin,3,2405,0x139c0a0,141,FrameDropperTrampoline
code-creation,Builtin,3,2411,0x139c140,45,HandleDebuggerStatement
code-creation,Builtin,3,2416,0x139c180,254,ToObject
code-creation,Builtin,3,2420,0x139c280,100,ToBoolean
code-creation,Builtin,3,2424,0x139c300,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2429,0x139c420,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2434,0x139c540,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2456,0x139c620,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2463,0x139c700,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2471,0x139c7e0,85,StringToNumber
