v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,1822,0x139a4e0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,1828,0x139a880,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,1831,0x139a8e0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,1835,0x139a940,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,1839,0x139a9a0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,1843,0x139aa00,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,1847,0x139aa60,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,1852,0x139aac0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,1855,0x139aba0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,1860,0x139ac00,51,InterpreterOnStackReplacement
code-creation,Builtin,3,1865,0x139ac40,1061,CompileLazy
code-creation,Builtin,3,1869,0x139b080,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,1876,0x139b0e0,245,InstantiateAsmJs
code-creation,Builtin,3,1881,0x139b1e0,32,NotifyDeoptimized
code-creation,Builtin,3,1884,0x139b220,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,1889,0x139b260,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,1895,0x139b2a0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,1901,0x139b2e0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,1907,0x139b340,287,CallApiCallback
code-creation,Builtin,3,1912,0x139b460,269,CallApiGetter
code-creation,Builtin,3,1916,0x139b580,12,HandleApiCall
code-creation,Builtin,3,1919,0x139b5a0,12,HandleApiCallAsFunction
code-creation,Builtin,3,1923,0x139b5c0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,1927,0x139b5e0,72,AllocateInYoungGeneration
code-creation,Builtin,3,1934,0x139b640,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,1939,0x139b680,72,AllocateInOldGeneration
code-creation,Builtin,3,1945,0x139b6e0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,1951,0x139b720,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,1956,0x139b920,563,GrowFastDoubleElements
code-creation,Builtin,3,1960,0x139bb60,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,1965,0x139bd20,353,NewArgumentsElements
code-creation,Builtin,3,1969,0x139bea0,500,DebugBreakTrampoline
code-creation,Builtin,3,1974,0x139c0a0,141,FrameDropperTrampoline
code-creation,Builtin,3,1980,0x139c140,45,HandleDebuggerStatement
code-creation,Builtin,3,1985,0x139c180,254,ToObject
code-creation,Builtin,3,1990,0x139c280,100,ToBoolean
code-creation,Builtin,3,1994,0x139c300,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,1998,0x139c420,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2005,0x139c540,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2010,0x139c620,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2015,0x139c700,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2019,0x139c7e0,85,StringToNumber
code-creation,Builtin,3,2024,0x139c840,129,ToName
code-creation,Builtin,3,2028,0x139c8e0,235,NonNumberToNumber
code-creation,Builtin,3,2034,0x139c9e0,255,NonNumberToNumeric
code-creation,Builtin,3,2039,0x139cae0,239,ToNumber
code-creation,Builtin,3,2042,0x139cbe0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2047,0x139cd00,275,ToNumeric
code-creation,Builtin,3,2051,0x139ce20,261,NumberToString
code-creation,Builtin,3,2054,0x139cf40,382,ToLength
code-creation,Builtin,3,2058,0x139d0c0,140,Typeof
code-creation,Builtin,3,2062,0x139d160,69,GetSuperConstructor
code-creation,Builtin,3,2068,0x139d1c0,125,BigIntToI64
code-creation,Builtin,3,2074,0x139d240,12,BigIntToI32Pair
code-creation,Builtin,3,2080,0x139d260,309,I64ToBigInt
code-creation,Builtin,3,2089,0x139d3a0,12,I32PairToBigInt
code-creation,Builtin,3,2096,0x139d3c0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2104,0x139d440,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2110,0x139e1c0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2117,0x13a2040,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2123,0x13a2140,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2145,0x13a21a0,20,LoadIC_StringLength
code-creation,Builtin,3,2153,0x13a21c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2159,0x13a21e0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2164,0x13a2de0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2167,0x13a2e20,6952,StoreIC_NoFeedback
code-creation,Builtin,3,2170,0x13a4960,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2174,0x13a4a20,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2201,0x13a4a80,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2206,0x13a4be0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2235,0x13a4d40,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2243,0x13a4ea0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2251,0x13a5000,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,2257,0x13a6ac0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2264,0x13a94a0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2271,0x13aaf60,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2277,0x13ac8e0,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2299,0x13aeda0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2305,0x13b4300,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2312,0x13b67c0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2317,0x13b9820,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2322,0x13b9b20,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2327,0x13b9be0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2332,0x13b9c40,156,EnqueueMicrotask
code-creation,Builtin,3,2337,0x13b9ce0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2344,0x13b9d00,2472,RunMicrotasks
code-creation,Builtin,3,2349,0x13ba6c0,2338,HasProperty
code-creation,Builtin,3,2354,0x13bb000,1108,DeleteProperty
code-creation,Builtin,3,2361,0x13bb460,1847,CopyDataProperties
code-creation,Builtin,3,2366,0x13bbba0,8794,SetDataProperties
code-creation,Builtin,3,2373,0x13bde00,36,Abort
code-creation,Builtin,3,2379,0x13bde40,36,AbortCSAAssert
code-creation,Builtin,3,2385,0x13bde80,12,EmptyFunction
code-creation,Builtin,3,2392,0x13bdea0,12,Illegal
code-creation,Builtin,3,2398,0x13bdec0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2405,0x13bdee0,12,UnsupportedThrower
code-creation,Builtin,3,2412,0x13bdf00,65,ReturnReceiver
code-creation,Builtin,3,2418,0x13bdf60,36,ArrayConstructor
code-creation,Builtin,3,2425,0x13bdfa0,413,ArrayConstructorImpl
code-creation,Builtin,3,2432,0x13be140,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2439,0x13be220,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2447,0x13be300,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2455,0x13be3c0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2463,0x13be480,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2471,0x13be540,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2479,0x13be600,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2488,0x13be6e0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2496,0x13be7c0,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2504,0x13be9e0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2512,0x13bebe0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2522,0x13beda0,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2530,0x13bef40,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
